model,base_model,nyu_abs_rel,nyu_abs_rel_se,nyu_rmse,nyu_rmse_se,middlebury_abs_rel,middlebury_abs_rel_se,middlebury_rmse,middlebury_rmse_se,hypersim_abs_rel,hypersim_abs_rel_se,hypersim_rmse,hypersim_rmse_se,hypersim_ppd,hypersim_ppd_se
zoedepth,zoedepth,0.0783,0.0025,0.3534,0.0132,0.4767,0.0438,3.4431,0.5388,0.3172,0.0143,3.9489,0.3975,17.13,1.37
unidepth,unidepth,0.0338,0.0012,0.1892,0.0078,0.3649,0.0507,2.9729,0.5275,0.2695,0.0166,2.8767,0.3156,17.62,1.63
sharpdepth_ppd_controlnet_zoedepth,zoedepth,0.0831,0.0031,0.3830,0.0158,0.4706,0.0453,3.4269,0.5444,0.3146,0.0144,3.9394,0.3975,13.08,1.16
sharpdepth_ppd_controlnet_unidepth,unidepth,0.0459,0.0018,0.2450,0.0106,0.3621,0.0484,2.9204,0.5131,0.2584,0.0164,2.7429,0.3021,12.59,1.20
patchrefiner,zoedepth,0.0927,0.0033,0.5399,0.0284,0.5126,0.0475,3.7288,0.5698,0.3104,0.0126,3.7359,0.3244,15.76,1.05
pixelperfectdepth_unidepth,unidepth,0.0446,0.0016,0.2497,0.0109,0.3636,0.0484,2.9246,0.5138,0.2577,0.0163,2.7158,0.3052,10.62,0.95
pixelperfectdepth_zoedepth,zoedepth,0.0806,0.0026,0.3637,0.0134,0.4711,0.0457,3.4310,0.5492,0.3166,0.0145,3.9375,0.3977,10.61,0.93
sharpdepth_lotus_zoedepth,zoedepth,0.1010,0.0036,0.4474,0.0171,0.4731,0.0420,3.4034,0.5291,0.3225,0.0142,3.9619,0.3987,16.78,1.51
sharpdepth_lotus_unidepth,unidepth,0.0756,0.0035,0.3551,0.0171,0.3669,0.0473,2.9501,0.5135,0.2862,0.0172,2.9133,0.3159,17.52,1.63
sharpdepth_ppd_controlnet_zoedepth_v2,zoedepth,0.0813,0.0025,0.3738,0.0130,0.4711,0.0455,3.4325,0.5470,0.3146,0.0144,3.9394,0.3975,13.08,1.16
sharpdepth_ppd_controlnet_unidepth_v2,unidepth,0.0443,0.0014,0.2392,0.0096,0.3618,0.0486,2.9174,0.5128,0.2584,0.0164,2.7429,0.3021,12.59,1.20
sharpdepth_lotus_zoedepth_v2,zoedepth,0.0786,0.0025,0.3577,0.0130,0.4763,0.0439,3.4410,0.5393,0.3160,0.0144,3.9377,0.3973,16.37,1.43
sharpdepth_lotus_unidepth_v2,unidepth,0.0353,0.0012,0.1982,0.0081,0.3648,0.0508,2.9700,0.5275,0.2677,0.0166,2.8486,0.3107,16.16,1.63
